id	lat	lon	title	description	icon	iconSize	iconOffset
2208	47.1445	18.0158	Szentháromság templom	<h4 style="margin-top:-20px">(Hajmáskér)</h4><p><a href="http://miserend.hu/?templom=2208" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4532	47.1329	18.0303	Magyarok Nagyasszonya iskolakápolna	<h4 style="margin-top:-20px">(Sóly)</h4><p><a href="http://miserend.hu/?templom=4532" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1984	47.4332	17.7593	Szent Janka templom	<h4 style="margin-top:-20px">(Gic)</h4><p><a href="http://miserend.hu/?templom=1984" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1985	47.3636	16.6756	Szent Ilona templom	<h4 style="margin-top:-20px">(Tömörd)</h4><p><a href="http://miserend.hu/?templom=1985" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1986	47.3534	17.8831	Kisboldogasszony templom	<h4 style="margin-top:-20px">(Csesznek)</h4><p><a href="http://miserend.hu/?templom=1986" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4919	47.3695	17.8813	Szent Mihály templom	<h4 style="margin-top:-20px">(Bakonyszentkirály)</h4><p><a href="http://miserend.hu/?templom=4919" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
4922	47.1551	17.4161	Szent Mihály-templom	<h4 style="margin-top:-20px">(Oroszi)</h4><p><a href="http://miserend.hu/?templom=4922" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
1987	47.2886	18.0241	Szűz Mária, a Világ Királynéja templom	<h4 style="margin-top:-20px">(Jásd)</h4><p><a href="http://miserend.hu/?templom=1987" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1988	47.5133	17.9359	Keresztelő Szent János Templom	<h4 style="margin-top:-20px">(Kerékteleki)</h4><p><a href="http://miserend.hu/?templom=1988" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1989	47.206	17.8693	Szent Mihály-templom	<h4 style="margin-top:-20px">(Lókút)</h4><p><a href="http://miserend.hu/?templom=1989" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
5125	47.2285	17.8351	Szent Kereszt felmagasztalása-kápolna	<h4 style="margin-top:-20px">(Aklimajor)</h4><p><a href="http://miserend.hu/?templom=5125" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
1990	47.2793	17.9048	Nepomuki Szent János-templom	<h4 style="margin-top:-20px">(Nagyesztergár)</h4><p><a href="http://miserend.hu/?templom=1990" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
1991	47.241	17.9146	Szentháromság templom	<h4 style="margin-top:-20px">(Olaszfalu)</h4><p><a href="http://miserend.hu/?templom=1991" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2206	47.1158	18.1057	Szent István király templom	<h4 style="margin-top:-20px">(Peremarton-Gyártelepi templom)</h4><p><a href="http://miserend.hu/?templom=2206" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4745	47.1125	18.1347	Szent Kereszt templom	<h4 style="margin-top:-20px">(Berhida - Kistemplom)</h4><p><a href="http://miserend.hu/?templom=4745" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
4747	45.9327	17.6466	Magyarok Nagyasszonya templom	<h4 style="margin-top:-20px">(Potony)</h4><p><a href="http://miserend.hu/?templom=4747" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4748	45.9041	17.6416	Szent Anna templom	<h4 style="margin-top:-20px">(Tótújfalu)</h4><p><a href="http://miserend.hu/?templom=4748" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
4749	45.8747	17.6589	Misézőhely	<h4 style="margin-top:-20px">(Szentborbás)</h4><p><a href="http://miserend.hu/?templom=4749" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red2.png	24,24	-12,-24
1993	47.2306	17.7952	Szent Márton püspök-templom	<h4 style="margin-top:-20px">(Pénzesgyőr)</h4><p><a href="http://miserend.hu/?templom=1993" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
1994	47.283	16.7024	Nagyboldogasszony templom	<h4 style="margin-top:-20px">(Vassurány)</h4><p><a href="http://miserend.hu/?templom=1994" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1995	47.3026	16.7482	Szent Miklós-templom	<h4 style="margin-top:-20px">(Vasszilvágy)</h4><p><a href="http://miserend.hu/?templom=1995" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1996	47.4258	17.9195	Szentháromság templom	<h4 style="margin-top:-20px">(Réde)</h4><p><a href="http://miserend.hu/?templom=1996" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
1997	47.4503	17.7907	Szent Mihály Templom	<h4 style="margin-top:-20px">(Románd)</h4><p><a href="http://miserend.hu/?templom=1997" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
1998	46.1006	18.5782	Nagyboldogasszony templom	<h4 style="margin-top:-20px">(Súr)</h4><p><a href="http://miserend.hu/?templom=1998" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red.png	24,24	-12,-24
1999	47.3184	18.037	Szent Péter és Pál templom	<h4 style="margin-top:-20px">(Szápár)</h4><p><a href="http://miserend.hu/?templom=1999" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2000	47.2577	18.0293	Szent István király templom	<h4 style="margin-top:-20px">(Tés)</h4><p><a href="http://miserend.hu/?templom=2000" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2001	46.4109	18.564	Nagyboldogasszony-templom	<h4 style="margin-top:-20px">(Bazilika)</h4><p><a href="http://miserend.hu/?templom=2001" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2002	47.2557	17.8761	Fájdalmas Szűz Anya-templom	<h4 style="margin-top:-20px">(Kistemplom)</h4><p><a href="http://miserend.hu/?templom=2002" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2003	47.3879	16.541	Jézus Szíve templom	<h4 style="margin-top:-20px">(Kőszeg)</h4><p><a href="http://miserend.hu/?templom=2003" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
