"Szent Rita templom","47.495109999999997","19.080909999999999","2401","1081 Budapest, Kun utca 5, Magyarország"
"Szentháromság-templom","47.582304999999998","19.110706","2445","1048 Budapest, Nádasdy Kálmán utca 2-4, Magyarország"
"Szent Péter és Pál templom","47.981689000000003","19.375408","1944","2694 Cserháthaláp, Fő út 48, Magyarország"
"Havas Boldogasszony-templom","47.497010000000003","19.031665","1652","1013 Budapest, Krisztina tér 2, Magyarország"
"Szent László templom","47.530993000000002","19.081554000000001","25","1139 Budapest, Béke tér 1c, Magyarország"
"Szent Mihály-templom","47.547494","19.077179000000001","2440","1131 Budapest, Babér utca 17, Magyarország"
"Szent István király templom","47.507232999999999","19.142807000000001","20","1144 Budapest, Álmos vezér tere 1, Magyarország"
"Mária Keresztények Segítsége templom","47.541953999999997","19.090622","2443","1131 Budapest, Rokolya utca 30, Magyarország"
"Szent Kereszt templom","47.471488999999998","19.108993999999999","2398","1091 Budapest, Üllői út 145, Magyarország"
"Szentháromság templom","47.448267999999999","19.020776000000001","2767","1116 Budapest, Duránci utca, Magyarország"
"Szent Simon és Júda templom","47.727471000000001","18.558713000000001","1577","2533 Bajót, Bánk bán tér 1, Magyarország"
"Krisztus Király kápolna","47.489697","19.066016000000001","3668","1088 Budapest, Reviczky utca 9, Magyarország"
"Árpád-házi Szent Margit templom (Lehel tér)","47.516646000000001","19.060434000000001","2413","1134 Budapest, Lehel tér 1, Magyarország"
"Szentháromság templom","47.556128999999999","19.045306","2011","1033 Budapest, Szentendrei út 89-93, Magyarország"
"Munkás Szent József templom","47.456598999999997","19.126287999999999","729","1192 Budapest, Pannónia út 26, Magyarország"
"Nagyboldogasszony templom","47.579518","19.087043999999999","28","1044 Budapest, Aschner Lipót tér 10, Magyarország"
"Szent Gellért kápolna","47.479734999999998","19.044421","4943","1118 Budapest, Ménesi út 26, Magyarország"
"Magyarok Nagyasszonya-templom","47.526192000000002","19.132679","1601","1141 Budapest, Zoborhegy tér 15-16, Magyarország"
"Béke királynéja kápolna","47.485335999999997","19.082702000000001","2395","1083 Budapest, Tömő utca 31, Magyarország"
"Magyarok Nagyasszonya Sziklatemplom","47.484926999999999","19.052188999999998","2740","1114 Budapest, Szent Gellért rakpart 1, Magyarország"
"Kapisztrán Szent János templom","47.520426999999998","19.021384000000001","2727","1022 Budapest, Törökvész út 4, Magyarország"
"Nagyboldogasszony-templom","47.501807999999997","19.033861000000002","1515","1014 Budapest, Szentháromság tér 2, Magyarország"
"Szent Rókus kápolna","47.495994000000003","19.067070000000001","2430","1072 Budapest, Rákóczi út 30, Magyarország"
"Szűz Mária Szeplõtelen Szíve-templom","47.438611000000002","19.183575999999999","2495","1181 Budapest, Batthyány Lajos utca 82, Magyarország"
"Szent Anna-templom","47.532778999999998","19.203372000000002","74","1162 Budapest, Muzsika utca 34-36, Magyarország"
"Krisztus Király templom","47.513351","19.170615999999999","72","1163 Budapest, Sasvár utca 23, Magyarország"
"Jézus Szíve templom","47.417065000000001","19.03002","1484","1222 Budapest, Pannónia utca 46-48, Magyarország"
"Mindenkor Segítő Szűz Mária-templom","47.479512","19.141195","858","1103 Budapest, Kőér utca 62, Magyarország"
"Aranyszájú Szent János templom","47.453119000000001","19.151229000000001","3733","1195 Budapest, Városház tér 5, Magyarország"
"Szent Antal templom","47.432198999999997","19.131805","2483","1204 Budapest, Nagyszeben utca 1, Magyarország"
"Szent József templom","47.507809000000002","19.197042","35","1165 Budapest, Pilóta utca 22-24, Magyarország"
"Szeplőtelen Fogantatás templom","47.513511000000001","19.093344999999999","5052","1146 Budapest, Hermina út 19, Magyarország"
"Hermina-kápolna","47.514163000000003","19.092438000000001","4329","1146 Budapest, Hermina út 23, Magyarország"
"Grassalkovich kápolna","47.433132999999998","19.175557000000001","4647","1181 Budapest, Sallai Imre utca, Magyarország"
"Szent József-templom","47.428007000000001","19.228764000000002","33","1185 Budapest, Barcika tér 12, Magyarország"
"Misézőhely a Széchenyi Iskolában","47.467443000000003","19.159576000000001","5056","1108 Budapest, Újhegyi sétány 1-3, Magyarország"
"Szent Mária Magdolna templom","47.520071999999999","19.230781","73","1164 Budapest, Jövendő utca 2-4, Magyarország"
"Szent Imre templom","47.525142000000002","19.180146000000001","71","1162 Budapest, Ida utca 91, Magyarország"
"Magyarok Nagyasszonya-templom","47.563236000000003","19.119610999999999","2454","1152 Budapest, Széchenyi tér 2-4, Magyarország"
"Szent Pál-templom","47.479387000000003","19.230592999999999","4235","1173 Budapest, Lázár deák utca 15-17, Magyarország"
"Lisieux-i Szent Teréz templom","47.466157000000003","19.241751000000001","2470","1174 Budapest, Baross utca 22, Magyarország"
"Fatimai Szűzanya templom","47.416995999999997","19.131643","2500","1237 Budapest, Szent László utca 149, Magyarország"
"Fogolykiváltó Boldogasszony és Világosító Szent Gergely templom","47.482246000000004","19.050936","2582","1114 Budapest, Orlay utca 4-6, Magyarország"
"Szent Lajos templom","47.434778999999999","19.118281","2486","1204 Budapest, Damjanich utca 40, Magyarország"
"Páduai Szent Antal-templom","47.519381000000003","19.113002000000002","2407","1149 Budapest, Nagy Lajos király útja 135, Magyarország"
"Szent István első vértanú templom","47.512580999999997","19.034587999999999","2725","1024 Budapest, Margit körút 21-23, Magyarország"
"Szent József templom","47.554817","19.095641000000001","22","1045 Budapest, Nap utca 17, Magyarország"
"Szent Ferenc sebei-templom","47.507370999999999","19.038215000000001","1453","1011 Budapest, Fő utca 41-43, Magyarország"
"Alexandriai Szent Katalin templom","47.492154999999997","19.044136999999999","1514","1013 Budapest, Attila út 9, Magyarország"
"Istenszülő Oltalma templom","47.501384000000002","19.075983000000001","3736","1074 Budapest, Rózsák tere 8-9, Magyarország"
"Jézus Szíve-templom","47.490371000000003","19.068474999999999","3669","1088 Budapest, Lőrinc pap tér 1, Magyarország"
"Sarlós Boldogasszony templom","47.857604000000002","20.407696999999999","880","3399 Andornaktálya, Kossuth Lajos utca 24, Magyarország"
"Conti kápolna","47.480859000000002","19.138894000000001","4702","1103 Budapest, Kápolna tér 3, Magyarország"
"Szent László templom","46.930011999999998","17.832215000000001","1920","8246 Tótvázsony, 7307 24, Magyarország"
"Szent András templom","47.826265999999997","17.494394","182","9177 Ásványráró, Rákóczi utca 1, Magyarország"
"Lisieux-i Szent Teréz templom","47.499687999999999","19.105291000000001","2409","1087 Budapest, Kerepesi út 31, Magyarország"
"Szent István király-templom","47.435741999999998","19.210387999999998","2498","1185 Budapest, Tátrafüred tér 12-13, Magyarország"
"Kápolna a Javítóintézetben","47.649503000000003","19.488921999999999","4905","2170 Aszód, Baross tér 2, Magyarország"
"Magyarok Nagyasszonya-kápolna","47.509017999999998","19.080974000000001","4847","1071 Budapest, Damjanich utca 50, Magyarország"
"Irgalmas Jézus kórházkápolna","47.501268000000003","19.019777000000001","2061","1122 Budapest, Roskovics utca 1048, Magyarország"
"Szent László-kápolna","47.515585000000002","19.082699000000002","4208","1146 Budapest, Vajdahunyad vár, Magyarország"
"Szent György-templom","47.479540999999998","19.158109","2437","1104 Budapest, Sörgyár utca 73a, Magyarország"
"Szent Kereszt Felmagasztalása Templom","47.729509999999998","20.945385000000002","1198","3467 Ároktő, Széchenyi utca 10, Magyarország"
"Nepomuki Szent János-templom","47.489896000000002","19.290924","2465","1171 Budapest, Péceli út 229, Magyarország"
"Szent Mihály főangyal templom","47.422465000000003","20.043664","1734","5142 Alattyán, Szent István út 23, Magyarország"
"Szent László-templom","47.439923999999998","19.168448999999999","2499","1181 Budapest, Tersánszky Józsi Jenő sétány, Magyarország"
"Magyarok Nagyasszonya-templom","47.490157000000004","19.259808","2474","1172 Budapest, Hősök tere, Magyarország"
"Nagyboldogasszony templom","47.453575999999998","19.142796000000001","846","1191 Budapest, Templom tér 22, Magyarország"
"Szent Borbála-templom","47.730170000000001","18.687186000000001","2570","2532 Tokodaltáró, Öreg köz 2, Magyarország"
"Szent Erzsébet templom","47.986801999999997","21.470291","3079","4447 Tiszalök, Szent István utca 34, Magyarország"
"Jézus Szent Szíve templom","48.191583000000001","21.795112","3096","4487 Tiszatelek, Kossuth utca 116, Magyarország"
"Szent Anna templom","48.031623000000003","21.23743","3076","4455 Tiszadada, Hősök tere 3, Magyarország"
"Nagyboldogasszony-templom","47.616746999999997","20.758353","4075","5350 Tiszafüred, Fő utca 25, Magyarország"
"Szentháromság templom","48.406685000000003","21.022976","3851","3837 Alsógagy, Ady Endre út, Magyarország"
"Szentolvasó Királynéja templom","45.972912000000001","19.037994000000001","878","6511 Bácsszentgyörgy, Kossuth Lajos utca 4, Magyarország"
"Szent Imre Templom","47.475175999999998","17.957906999999999","1937","2884 Bakonyszombathely, Baross Gábor utca 3, Magyarország"
"Szent Család templom","47.513063000000002","19.069049","2442","1064 Budapest, Szondi utca 67, Magyarország"
"Oltáriszentség templom","47.508389000000001","19.064420999999999","2434","1074 Budapest, Vörösmarty utca 40, Magyarország"
"Misézőhely az Országos Orvosi Rehabilitációs Intézetben","47.523580000000003","18.931737999999999","4929","2092 Budakeszi, Rózsa utca 36, Magyarország"
"Szent József-templom","47.601472000000001","19.044391000000001","2005","1038 Budapest, Templom utca 13, Magyarország"
"Jézus Szíve templom","47.571539000000001","19.087119000000001","4968","1047 Budapest, Baross utca 70, Magyarország"
"Szent Kereszt felmagasztalása templom","48.067256","20.631907999999999","1226","3557 Bükkszentkereszt, Széchenyi utca 2, Magyarország"
"Szent Antal kápolna","47.506850999999997","21.652113","1446","4030 Debrecen, Wolaffka utca 2-6, Magyarország"
"Szent Péter és Pál-templom","47.543312","21.672758000000002","1440","4033 Debrecen, Vak Bottyán utca 26, Magyarország"
"Szent Erzsébet Otthoni kápolna","47.506041000000003","21.637443000000001","1438","4030 Debrecen, Tátra utca 6, Magyarország"
"Szent Anna-székesegyház","47.526865999999998","21.629622000000001","833","4024 Debrecen, Szent Anna utca 15, Magyarország"
"Jézus Szíve templom","47.540937","21.642496999999999","836","4028 Debrecen, Mikes Kelemen utca 29-31, Magyarország"
"Szent Család templom","47.522218000000002","21.601464","838","4031 Debrecen, Holló László sétány 1, Magyarország"
"Szent László-templom","47.541355000000003","21.623199","834","4027 Debrecen, Füredi út 10, Magyarország"
"Kórházkápolna - Kenézy Gyula megyei kórház","47.533406999999997","21.607140000000001","3740","4031 Debrecen, Bartók Béla út 15, Magyarország"
"Megtestesülés templom","47.551369999999999","21.610624999999999","839","4032 Debrecen, Borbíró tér 9, Magyarország"
"Szent István király templom","47.974133000000002","19.424482000000001","311","2676 Cserhátsurány, Dobó Katica út 7, Magyarország"
"Szent Kereszt templom","46.325724000000001","20.706422","1713","6915 Csanádalberti, Fő út 27-29, Magyarország"
"Szent Lőrinc templom","47.012788","17.289884000000001","2296","8474 Csabrendek, Templom tér 4, Magyarország"
"Szent Kereszt felmagasztalása templom","47.129140999999997","21.716829000000001","1520","4110 Biharkeresztes, Hősök tere 10, Magyarország"
"Szent László király templom","47.114938000000002","18.134522","2204","8181 Berhida, Szabadság tér 18, Magyarország"
"Szent Miklós templom","47.011516999999998","16.970666000000001","1909","9831 Bérbaltavár, Arany János utca 13, Magyarország"
"Szent József templom","48.162227999999999","22.555634000000001","1798","4933 Beregsurány, Árpád út 18, Magyarország"
"Szent Mihály főangyal templom","48.180087999999998","20.251315999999999","1332","3663 Arló, Dózsa György út 29, Magyarország"
"Szent László Templom","48.215057999999999","20.970804999999999","1805","3841 Aszaló, Rákóczi Ferenc utca 66, Magyarország"
"Szent László templom","47.076987000000003","18.030152000000001","2175","8184 Balatonfűzfő, Nike körút 10, Magyarország"
"Jézus Szíve templom","47.059272999999997","18.046685","2167","8175 Balatonfűzfő, Jókai Mór utca 44-46, Magyarország"
"Szent Mihály templom","47.051603","17.555015000000001","2291","8451 Ajka, Padragi út 279, Magyarország"
"Szent Kereszt felmagasztalása-templom","48.295952999999997","20.738077000000001","3765","3780 Edelény, Újtemplom út 2, Magyarország"
"Rózsafüzér királynéja templom","48.281030000000001","20.749787999999999","2683","3783 Edelény, Árpád út 40-42, Magyarország"
"Krisztus Király templom","46.761778","19.086324999999999","1073","6325 Dunatetétlen, Rákóczi utca 20, Magyarország"
"Krisztus Király  templom","46.967923999999996","18.933278000000001","517","2400 Dunaújváros, II. János Pál pápa tér 1, Magyarország"
"Szent Benedek templom","46.596660999999997","18.892175999999999","996","6333 Dunaszentbenedek, Kossuth utca 88, Magyarország"
"Szent Mihály-templom","47.631965999999998","19.130728999999999","144","2120 Dunakeszi, Szent István utca 37, Magyarország"
"Szent Miklós templom","47.214052000000002","19.543537000000001","436","2735 Dánszentmiklós, Dózsa György utca 98, Magyarország"
"Misézőhely a Klinikán","47.562396","21.621597000000001","4447","4032 Debrecen, Móricz Zsigmond út 22, Magyarország"
"Szent Lőrinc templom","47.675427999999997","17.19886","964","9168 Acsalag, Fő utca 24-25, Magyarország"
"Gyümölcsoltó Boldogasszony templom","48.072338999999999","20.785878","1249","3508 Miskolc, Templom utca 22, Magyarország"
"Rózsafüzér Királynője templom","47.672277999999999","18.181336999999999","48","2911 Mocsa, Kis utca 18, Magyarország"
"Szűz Mária neve templom","47.727460000000001","18.603093000000001","1977","2535 Mogyorósbánya, Felszabadulás utca 64, Magyarország"
"Szentháromság templom","46.910538000000003","19.692043000000002","92","6000 Kecskemét, Piaristák tere 2, Magyarország"
"Szent Miklós püspök templom","47.725994999999998","20.025210999999999","1665","3281 Karácsond, Szent Miklós tér 5, Magyarország"
"Szentháromság templom","48.202295999999997","20.926696","1833","3800 Szikszó, Kossuth Lajos út 2, Magyarország"
"Szentháromság templom","48.040303000000002","21.378761000000001","1871","3928 Tiszatardos, Kossuth Lajos utca 64, Magyarország"
"Szűz Mária szent neve templom","48.017338000000002","21.373214000000001","3077","4450 Tiszalök, Ady utca 8, Magyarország"
"Szent Erzsébet templom","47.986724000000002","21.470286000000002","3078","4447 Tiszalök, Szent István utca 34, Magyarország"
"Jézus Szíve templom","46.263506","20.180226000000001","1038","6727 Szeged, Csap utca 37, Magyarország"
"Urunk színeváltozása-kápolna","48.065058000000001","21.313476000000001","4185","3926 Taktabáj, Alkotmány út 69, Magyarország"
"Szent Rókus templom","46.047061999999997","17.799575999999998","2508","7900 Szigetvár, Zrínyi tér 1, Magyarország"
